generation,filled_field_fraction,levenshtein_similarity,cosine_similarity,score_gpt4o,score_llama3-70b,run_id,turns
2,0.15625,0.16471675869344296,0.21658515723538582,0.625,0.6875,run_20251126_172658,5
3,0.15625,0.16408604392983903,0.2109876562899444,0.6875,0.6875,run_20251126_172658,5
4,0.15625,0.16566752166263254,0.21013736669556235,0.6875,0.6875,run_20251126_172658,5
5,0.1875,0.1591996422795268,0.21594877903407902,0.65625,0.65625,run_20251126_172658,5
6,0.09375,0.1133609289740697,0.17014326018397694,0.3125,0.3125,run_20251126_172658,5
7,0.125,0.08771942993067038,0.1396099436387885,0.1875,0.1875,run_20251126_172658,5
8,0.125,0.0918954692062569,0.1453177605581004,0.15625,0.15625,run_20251126_172658,5
9,0.03125,0.08054416639947465,0.12679570441832763,0.15625,0.15625,run_20251126_172658,5
0,0.21875,0.19393522941476857,0.27342299316660496,1.0625,1.0625,run_20251126_195954,5
1,0.1875,0.09725734452569626,0.17137709649978203,0.46875,0.5625,run_20251126_195954,5
2,0.15625,0.09161668498258645,0.15176944277482105,0.3125,0.46875,run_20251126_195954,5
3,0.15625,0.09457749006733221,0.16563747523468916,0.3125,0.5,run_20251126_195954,5
4,0.125,0.0951166787012789,0.15727396847796624,0.25,0.34375,run_20251126_195954,5
5,0.15625,0.10258180960733063,0.1605348457524087,0.25,0.28125,run_20251126_195954,5
6,0.09375,0.09572425114523736,0.15588125473004763,0.25,0.34375,run_20251126_195954,5
7,0.09375,0.09262297074730072,0.15755230051581745,0.28125,0.3125,run_20251126_195954,5
8,0.0625,0.0850153202456285,0.14068900124402714,0.28125,0.28125,run_20251126_195954,5
9,0.09375,0.09245094606049159,0.14242944476427508,0.28125,0.28125,run_20251126_195954,5
0,0.65625,0.4515063041589069,0.5568416384339798,2.96875,3.09375,run_20251127_030334,15
1,0.5625,0.33286963220693094,0.45236447811475955,2.0625,2.1875,run_20251127_030334,15
2,0.46875,0.2632701741307476,0.38361521353363054,1.625,1.78125,run_20251127_030334,15
3,0.5625,0.2899073213608829,0.4026312874921132,1.59375,1.75,run_20251127_030334,15
4,0.5,0.2665173817856579,0.35813361682812683,1.46875,1.5625,run_20251127_030334,15
5,0.4375,0.26615554376261047,0.35953677419456653,1.5,1.625,run_20251127_030334,15
6,0.53125,0.3140798776043268,0.38526008592452854,1.40625,1.5625,run_20251127_030334,15
7,0.5,0.31627679631590827,0.39968690628302284,1.53125,1.65625,run_20251127_030334,15
8,0.5625,0.30723407402125197,0.36809066517162137,1.375,1.46875,run_20251127_030334,15
9,0.5,0.29585231534241263,0.3573911009298172,1.34375,1.4375,run_20251127_030334,15
0,0.59375,0.3845201568278961,0.5053776390850544,2.6875,2.8125,run_20251128_002029,15
1,0.5625,0.3267508297605604,0.47083836863748724,2.40625,2.59375,run_20251128_002029,15
2,0.53125,0.2989964382452093,0.42075361427851016,2.09375,2.1875,run_20251128_002029,15
3,0.5625,0.3029499859577379,0.4352349253022112,2.21875,2.3125,run_20251128_002029,15
4,0.59375,0.2747584122669986,0.4316720553324558,2.1875,2.46875,run_20251128_002029,15
5,0.625,0.2594583430591419,0.4338485155021772,2.3125,2.5625,run_20251128_002029,15
6,0.5625,0.2720434216888682,0.41709110356168816,2.03125,2.21875,run_20251128_002029,15
7,0.5,0.25782948929758337,0.39564353734022006,1.71875,2.03125,run_20251128_002029,15
8,0.46875,0.2464781242690167,0.35840491161798127,1.5,1.625,run_20251128_002029,15
9,0.5,0.2331278504759879,0.34228379494743416,1.5,1.6875,run_20251128_002029,15
0,0.53125,0.3567998613569573,0.5063946320442483,2.34375,2.46875,run_20251129_010254,15
1,0.53125,0.37151191154404123,0.5171194416470826,2.3125,2.40625,run_20251129_010254,15
2,0.53125,0.28522018780630387,0.41495198383927345,1.8125,2.15625,run_20251129_010254,15
3,0.53125,0.26682674889407104,0.42924457823392004,1.96875,2.125,run_20251129_010254,15
4,0.4375,0.22510255435748008,0.371737485867925,1.59375,1.8125,run_20251129_010254,15
5,0.53125,0.24762999034008212,0.385881845082622,1.59375,1.90625,run_20251129_010254,15
6,0.53125,0.24668499619572706,0.4028133735409937,1.9375,2.09375,run_20251129_010254,15
7,0.53125,0.23214106616058047,0.3839607306290418,2.0,2.21875,run_20251129_010254,15
8,0.5,0.24733304305844564,0.3958222089568153,2.0625,2.28125,run_20251129_010254,15
9,0.53125,0.23415132913191358,0.38186665170360357,1.875,2.09375,run_20251129_010254,15
0,0.65625,0.4515063041589069,0.5568416384339798,2.9375,3.09375,run_20251201_170956,15
1,0.5625,0.33286963220693094,0.45236447811475955,2.0625,2.1875,run_20251201_170956,15
2,0.46875,0.2632701741307476,0.38361521353363054,1.625,1.78125,run_20251201_170956,15
3,0.5625,0.2899073213608829,0.4026312874921132,1.59375,1.75,run_20251201_170956,15
4,0.5,0.2665173817856579,0.35813361682812683,1.4375,1.5625,run_20251201_170956,15
5,0.4375,0.26615554376261047,0.35953677419456653,1.40625,1.59375,run_20251201_170956,15
6,0.53125,0.3140798776043268,0.38526008592452854,1.4375,1.5625,run_20251201_170956,15
7,0.5,0.31627679631590827,0.39968690628302284,1.5,1.65625,run_20251201_170956,15
8,0.5625,0.30723407402125197,0.36809066517162137,1.375,1.46875,run_20251201_170956,15
9,0.5,0.29585231534241263,0.3573911009298172,1.34375,1.46875,run_20251201_170956,15
0,0.625,0.44007424630144887,0.577901462034788,2.96875,3.0625,run_20251201_203354,15
1,0.53125,0.3132392840421184,0.4627674996154383,2.25,2.40625,run_20251201_203354,15
2,0.46875,0.31508354684529205,0.4437309308559634,2.15625,2.21875,run_20251201_203354,15
3,0.3125,0.235120777100331,0.3401876674615778,1.4375,1.53125,run_20251201_203354,15
4,0.4375,0.2584765896832436,0.38572415948146954,1.6875,1.8125,run_20251201_203354,15
5,0.5,0.2488137138710667,0.3692264744313434,1.375,1.46875,run_20251201_203354,15
6,0.5,0.24314065267224558,0.3764367915864568,1.4375,1.53125,run_20251201_203354,15
7,0.5,0.25074271859451835,0.3665870634431485,1.78125,2.03125,run_20251201_203354,15
8,0.4375,0.23044586903349532,0.36289523224695586,1.5625,1.71875,run_20251201_203354,15
9,0.5,0.24107991912187918,0.35189960853313096,1.625,1.71875,run_20251201_203354,15
0,0.875,0.6617431752807366,0.7827297945623286,4.21875,4.34375,run_20251220_001851,25
1,0.78125,0.5788926935096422,0.6910371326957829,3.75,3.875,run_20251220_001851,25
2,0.71875,0.5059789295357832,0.6490599087555893,3.46875,3.5625,run_20251220_001851,25
3,0.65625,0.431777834792593,0.5849260849063285,3.09375,3.25,run_20251220_001851,25
4,0.6875,0.455636374745777,0.614615117025096,3.28125,3.375,run_20251220_001851,25
5,0.65625,0.3896116555962196,0.5689778989762999,3.125,3.21875,run_20251220_001851,25
6,0.5625,0.316173678360483,0.4689888968714513,2.46875,2.6875,run_20251220_001851,25
7,0.59375,0.3076284040026779,0.460681744327303,2.53125,2.8125,run_20251220_001851,25
8,0.5625,0.27409550300643837,0.43812952999724075,2.46875,2.625,run_20251220_001851,25
9,0.625,0.2896279941845198,0.4664248272893019,2.46875,2.625,run_20251220_001851,25
0,0.78125,0.589847674477719,0.7048758424934931,3.8125,3.84375,run_20251221_221949,25
1,0.71875,0.4769402712617205,0.624111165991053,3.34375,3.46875,run_20251221_221949,25
2,0.75,0.4633229568262695,0.6174953693989664,3.375,3.53125,run_20251221_221949,25
3,0.6875,0.43965335608861605,0.5964131421642378,3.1875,3.375,run_20251221_221949,25
4,0.6875,0.37623364283096167,0.5465195830911398,2.84375,3.15625,run_20251221_221949,25
5,0.65625,0.34212780282342886,0.5195325289969333,2.625,2.96875,run_20251221_221949,25
6,0.6875,0.337972634126961,0.5302539517288096,2.75,3.0625,run_20251221_221949,25
7,0.65625,0.33635239384916193,0.5213129053008743,2.65625,3.03125,run_20251221_221949,25
8,0.65625,0.33724959440637614,0.5119039013516158,2.6875,2.90625,run_20251221_221949,25
9,0.65625,0.3247064502701332,0.5011183562455699,2.65625,2.8125,run_20251221_221949,25
0,0.90625,0.7169767443069315,0.8345033801160753,4.40625,4.5,run_20251221_222422,25
1,0.8125,0.5144814670948225,0.6920348009152804,3.75,3.9375,run_20251221_222422,25
2,0.75,0.4525459861553291,0.6470745850820094,3.25,3.53125,run_20251221_222422,25
3,0.6875,0.40766732842181025,0.6214803603943437,3.15625,3.3125,run_20251221_222422,25
4,0.78125,0.44419073024786093,0.6337751210667193,3.40625,3.75,run_20251221_222422,25
5,0.71875,0.406462409625427,0.5907760390546173,3.25,3.46875,run_20251221_222422,25
6,0.65625,0.3393167897915455,0.5203854915889679,2.6875,2.9375,run_20251221_222422,25
7,0.6875,0.3341557469945742,0.5335318356810603,2.9375,3.1875,run_20251221_222422,25
8,0.65625,0.3110211281706532,0.4990819477534387,2.71875,2.96875,run_20251221_222422,25
9,0.65625,0.30516168950182876,0.500711574597517,2.6875,2.90625,run_20251221_222422,25
0,0.8125,0.5301457508695648,0.6952476530859713,3.8125,3.90625,run_20251222_002907,25
1,0.875,0.5366947558368098,0.7094210900831968,3.78125,4.0,run_20251222_002907,25
2,0.78125,0.4750460529053474,0.6210685828700662,3.53125,3.71875,run_20251222_002907,25
3,0.6875,0.45561049481036275,0.5719615647103637,3.15625,3.3125,run_20251222_002907,25
4,0.75,0.4700153479895258,0.5968842737493105,3.25,3.34375,run_20251222_002907,25
5,0.71875,0.48011812312391383,0.6153169126046123,3.34375,3.5,run_20251222_002907,25
6,0.59375,0.3665502787141415,0.5221931637061061,2.6875,2.875,run_20251222_002907,25
7,0.625,0.340154602361293,0.5225656148395501,2.75,2.9375,run_20251222_002907,25
8,0.625,0.3307620379478041,0.5067802280536853,2.8125,2.96875,run_20251222_002907,25
9,0.5625,0.2884016780104369,0.4443417704897001,2.40625,2.65625,run_20251222_002907,25
0,0.78125,0.5179617329153409,0.6509002161328681,3.5,3.6875,run_20251222_224452,25
1,0.84375,0.5311944794887836,0.6867512439494021,3.71875,4.0,run_20251222_224452,25
2,0.875,0.48280455367126485,0.6569134637247771,3.4375,3.75,run_20251222_224452,25
3,0.75,0.48835889095588464,0.6448628254584037,3.21875,3.46875,run_20251222_224452,25
4,0.8125,0.42273115342268913,0.6102102989680134,3.125,3.375,run_20251222_224452,25
5,0.6875,0.3716961552067905,0.5465033013751963,2.71875,3.0625,run_20251222_224452,25
6,0.625,0.3542956553044626,0.5287587608909234,2.59375,2.9375,run_20251222_224452,25
7,0.6875,0.364031738302996,0.5377071321709082,2.78125,3.125,run_20251222_224452,25
8,0.71875,0.3365735683165335,0.5202792416093871,2.75,3.125,run_20251222_224452,25
9,0.625,0.28055904435389717,0.4601047520991415,2.34375,2.75,run_20251222_224452,25
